dirver_id,name,ssn,company,region
0,김지훈,1705152396668,주식회사 이문서,대구광역시
1,조지우,0901281645343,김이,울산광역시
2,남미정,0603061535969,(주) 한,단양군
3,김미숙,6404231206706,장박,울산광역시
4,이상호,0204132384420,홍엄김,과천시
5,김윤서,5102011722103,유한회사 최,안성시
6,안광수,2207041902385,김박,대구광역시
7,박지우,4306142149075,류홍,논산시
8,홍성훈,2709142746685,지김,고양시
9,이지현,8804031755410,유한회사 김김송,대구광역시
10,이중수,5007182858928,최김,인천광역시
11,이정남,2605032559403,김조,부산광역시
12,노영일,4406051115313,(주) 안김김,울산광역시
13,최민서,4803102994521,유한회사 이,대전광역시
14,홍민수,1107021944432,(유) 김,금산군
15,김지훈,8104021458164,김차,광주광역시
16,민예은,6305252007826,김윤,인천광역시
17,박정훈,1804082241992,이김,세종특별자치시
18,강숙자,7207081725955,주식회사 김김김,광주광역시
19,류경자,4205022498715,주식회사 이,양양군
20,박지현,7905191449671,최박김,횡성군
21,김영호,4308021442881,(유) 김,대구광역시
22,고성수,3506052749403,박윤오,괴산군
23,이시우,2109001029526,김박이,울산광역시
24,김현준,9305191390219,(주) 권김진,청주시
25,한미숙,6805281614155,(유) 이김최,광주시
26,장지현,8004092511546,주식회사 손김차,의왕시
27,김지현,7202221101267,백송,수원시
28,김서준,7501202728922,(주) 김,인천광역시
29,강서현,8704002587145,주식회사 이,부산광역시
30,장현준,4407031825733,주식회사 김,세종특별자치시
31,박지은,7602202234442,김이김,서울특별시
32,박건우,4500002953482,강송최,부산광역시
33,홍정식,6500081933358,(주) 김,단양군
34,강민재,0003291083362,최박이,서울특별시
35,김정웅,3501251584768,(유) 이조손,안성시
36,이상훈,4500141990561,유한회사 전,남양주시
37,허지민,8208142476393,윤류안,화천군
38,박명숙,4205041476347,김박양,대구광역시
39,박건우,3905201612031,유한회사 김김김,대전광역시
40,홍영식,2100262330359,(유) 한김송,양주시
41,최지후,0303132763289,김이,인천광역시
42,나건우,5204031026975,민문,청주시
43,최영호,4106141032646,유한회사 이박윤,인천광역시
44,성서윤,2406241682794,양전,고양시
45,이민수,6901161683971,(주) 양이배,의왕시
46,이현숙,5702262330117,(유) 이김이,인천광역시
47,지종수,8804282689156,김안이,광주광역시
48,박정희,6900091261761,(주) 김,청주시
49,김보람,9600202661527,김김김,울산광역시
50,고정순,1404171452034,(주) 이권양,안산시
51,박예원,7706041541062,이윤,대구광역시
52,황수빈,3009032737843,오김,안양시
53,구성현,6205122855701,(주) 김,대전광역시
54,박수민,5108221361469,(주) 김,성남시
55,하지영,7506281057605,유한회사 김,수원시
56,안영순,9003251890559,주식회사 이윤이,울산광역시
57,신경자,5002062409585,유한회사 박,평창군
58,강옥자,7105082974912,김박,논산시
59,박예준,6502082469219,김양,울산광역시
60,김은영,6507272403017,유한회사 황김이,수원시
61,윤지후,3706281582663,김김윤,울산광역시
62,김승현,2005052751996,이강최,서울특별시
63,김서현,8502232253023,주식회사 김이김,광주광역시
64,박성진,4609022311727,유한회사 김,계룡시
65,박현숙,1807242293747,이장김,인천광역시
66,이지연,7505221146794,유한회사 김,대구광역시
67,오건우,2908101386539,박박,세종특별자치시
68,이상현,5902102078420,(유) 김안서,광주광역시
69,권현우,0708232375189,(유) 주,영동군
70,오도현,8702231124803,황김,부산광역시
71,이아름,6500051444661,유한회사 김최오,용인시
